Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
28	16:42:15	16:42:15	16:42:15	16:42:15	16:42:15	16:42:15			16:42:15	16:42:15	16:42:15	16:42:15	16:42:19	16:42:19	16:42:19	16:42:19	16:42:19	16:42:19			16:42:20	16:42:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
29	16:42:20	16:42:20	16:42:20	16:42:20	16:42:20	16:42:20			16:42:20	16:42:20	16:42:21	16:42:21	16:42:25	16:42:25	16:42:25	16:42:25	16:42:25	16:42:25			16:42:27	16:42:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
30	16:42:27	16:42:27	16:42:27	16:42:27	16:42:27	16:42:27			16:42:27	16:42:27	16:42:27	16:42:27	16:42:31	16:42:31	16:42:31	16:42:31	16:42:31	16:42:31	16:42:31	16:42:31	16:42:35	16:42:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00	00:00:00	00:00:04	00:00:08
31	16:42:35	16:42:35	16:42:35	16:42:35	16:42:35	16:42:35			16:42:35	16:42:35	16:42:35	16:42:35	16:42:39	16:42:39	16:42:39	16:42:39	16:42:39	16:42:39			16:42:42	16:42:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:03	00:00:07
32	16:42:42	16:42:42	16:42:42	16:42:42	16:42:42	16:42:42			16:42:42	16:42:42	16:42:42	16:42:42	16:42:46	16:42:46	16:42:46	16:42:46	16:42:46	16:42:46			16:42:48	16:42:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:05
33	16:42:48	16:42:48	16:42:48	16:42:48	16:42:48	16:42:48			16:42:48	16:42:48	16:42:48	16:42:48	16:42:52	16:42:52	16:42:52	16:42:52	16:42:52	16:42:52			16:42:54	16:42:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
34	16:42:54	16:42:54	16:42:54	16:42:54	16:42:54	16:42:54			16:42:54	16:42:54	16:42:54	16:42:54	16:42:58	16:42:58	16:42:58	16:42:58	16:42:58	16:42:58			16:42:59	16:42:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:04
35	16:42:59	16:42:59	16:42:59	16:42:59	16:42:59	16:42:59			16:42:59	16:42:59	16:42:59	16:42:59	16:43:03	16:43:03	16:43:03	16:43:03	16:43:03	16:43:03			16:43:04	16:43:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
36	16:43:04	16:43:04	16:43:04	16:43:04	16:43:04	16:43:04			16:43:04	16:43:04	16:43:04	16:43:04	16:43:08	16:43:08	16:43:08	16:43:08	16:43:08	16:43:08			16:43:10	16:43:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
37	16:43:10	16:43:10	16:43:11	16:43:11	16:43:11	16:43:11			16:43:11	16:43:11	16:43:11	16:43:11	16:43:16	16:43:16	16:43:16	16:43:16	16:43:16	16:43:16			16:43:19	16:43:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:02	00:00:08
38	16:43:19	16:43:19	16:43:19	16:43:19	16:43:19	16:43:19			16:43:19	16:43:19	16:43:19	16:43:19	16:43:25	16:43:25	16:43:25	16:43:25	16:43:25	16:43:25			16:43:28	16:43:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:02	00:00:08
39	16:43:28	16:43:28	16:43:28	16:43:28	16:43:28	16:43:28			16:43:28	16:43:28	16:43:28	16:43:28	16:43:33	16:43:33	16:43:33	16:43:33	16:43:33	16:43:33			16:43:34	16:43:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
40	16:43:34	16:43:34	16:43:34	16:43:34	16:43:34	16:43:34			16:43:34	16:43:34	16:43:34	16:43:34	16:43:41	16:43:41	16:43:41	16:43:41	16:43:41	16:43:41	16:43:41	16:43:41	16:43:50	16:43:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00	00:00:00	00:00:09	00:00:16
41	16:43:50	16:43:50	16:43:51	16:43:51	16:43:51	16:43:51			16:43:51	16:43:51	16:43:51	16:43:51	16:43:55	16:43:55	16:43:55	16:43:55	16:43:55	16:43:55			16:43:57	16:43:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
42	16:43:57	16:43:57	16:43:57	16:43:57	16:43:57	16:43:57			16:43:57	16:43:57	16:43:57	16:43:57	16:44:02	16:44:02	16:44:02	16:44:02	16:44:02	16:44:02			16:44:03	16:44:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
43	16:44:03	16:44:03	16:44:03	16:44:03	16:44:03	16:44:03			16:44:03	16:44:03	16:44:03	16:44:03	16:44:08	16:44:08	16:44:08	16:44:08	16:44:08	16:44:08			16:44:10	16:44:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
44	16:44:10	16:44:10	16:44:10	16:44:10	16:44:10	16:44:10			16:44:10	16:44:10	16:44:10	16:44:10	16:44:16	16:44:16	16:44:16	16:44:16	16:44:16	16:44:16			16:44:18	16:44:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:02	00:00:08
45	16:44:18	16:44:18	16:44:18	16:44:18	16:44:18	16:44:18			16:44:18	16:44:18	16:44:18	16:44:18	16:44:23	16:44:23	16:44:23	16:44:23	16:44:23	16:44:23			16:44:25	16:44:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
46	16:44:25	16:44:25	16:44:25	16:44:25	16:44:25	16:44:25			16:44:25	16:44:25	16:44:25	16:44:25	16:44:29	16:44:29	16:44:29	16:44:29	16:44:29	16:44:29			16:44:31	16:44:31		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
47	16:44:31	16:44:31	16:44:31	16:44:31	16:44:31	16:44:31			16:44:31	16:44:31	16:44:31	16:44:31	16:44:36	16:44:36	16:44:36	16:44:36	16:44:36	16:44:36			16:44:38	16:44:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
48	16:44:38	16:44:38	16:44:38	16:44:38	16:44:38	16:44:38			16:44:38	16:44:38	16:44:38	16:44:38	16:44:42	16:44:42	16:44:42	16:44:42	16:44:42	16:44:42			16:44:44	16:44:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
49	16:44:44	16:44:44	16:44:44	16:44:44	16:44:44	16:44:44			16:44:44	16:44:44	16:44:44	16:44:44	16:44:49	16:44:49	16:44:49	16:44:49	16:44:49	16:44:49			16:44:51	16:44:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
50	16:44:52	16:44:52	16:44:52	16:44:52	16:44:52	16:44:52			16:44:52	16:44:52	16:44:52	16:44:52	16:44:56	16:44:56	16:44:56	16:44:56	16:44:56	16:44:56	16:44:56	16:44:56	16:44:59	16:44:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:03	00:00:07
51	16:45:00	16:45:00	16:45:01	16:45:01	16:45:01	16:45:01			16:45:01	16:45:01	16:45:01	16:45:01	16:45:05	16:45:05	16:45:05	16:45:05	16:45:05	16:45:05			16:45:07	16:45:07		00:00:01	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
