Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
44	01:40:42	01:40:42	01:40:42	01:40:42	01:40:42	01:40:42			01:40:42	01:40:42	01:40:42	01:40:42	01:40:47	01:40:47	01:40:47	01:40:47	01:40:47	01:40:47			01:40:49	01:40:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
45	01:40:49	01:40:49	01:40:49	01:40:49	01:40:49	01:40:49			01:40:49	01:40:49	01:40:49	01:40:49	01:40:53	01:40:53	01:40:53	01:40:53	01:40:53	01:40:53			01:40:55	01:40:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
46	01:40:55	01:40:55	01:40:55	01:40:55	01:40:55	01:40:55			01:40:55	01:40:55	01:40:55	01:40:55	01:41:00	01:41:00	01:41:00	01:41:00	01:41:00	01:41:00			01:41:02	01:41:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
47	01:41:02	01:41:02	01:41:02	01:41:02	01:41:02	01:41:02			01:41:02	01:41:02	01:41:02	01:41:02	01:41:07	01:41:07	01:41:07	01:41:07	01:41:07	01:41:07			01:41:09	01:41:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
48	01:41:09	01:41:09	01:41:09	01:41:09	01:41:09	01:41:09			01:41:09	01:41:09	01:41:09	01:41:09	01:41:13	01:41:13	01:41:13	01:41:13	01:41:13	01:41:13			01:41:14	01:41:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
49	01:41:16	01:41:16	01:41:16	01:41:16	01:41:16	01:41:16			01:41:16	01:41:16	01:41:16	01:41:16	01:41:20	01:41:20	01:41:20	01:41:20	01:41:20	01:41:20			01:41:22	01:41:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
50	01:41:22	01:41:22	01:41:22	01:41:22	01:41:22	01:41:22			01:41:23	01:41:23	01:41:23	01:41:23	01:41:27	01:41:27	01:41:27	01:41:27	01:41:27	01:41:27	01:41:27	01:41:27	01:41:30	01:41:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:02	00:00:07
51	01:41:30	01:41:30	01:41:30	01:41:30	01:41:30	01:41:30			01:41:30	01:41:30	01:41:30	01:41:30	01:41:36	01:41:36	01:41:36	01:41:36	01:41:36	01:41:36			01:41:38	01:41:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:02	00:00:08
52	01:41:38	01:41:38	01:41:38	01:41:38	01:41:38	01:41:38			01:41:38	01:41:38	01:41:38	01:41:38	01:41:44	01:41:44	01:41:44	01:41:44	01:41:44	01:41:44			01:41:46	01:41:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:01	00:00:07
53	01:41:46	01:41:46	01:41:46	01:41:46	01:41:46	01:41:46			01:41:46	01:41:46	01:41:46	01:41:46	01:41:51	01:41:51	01:41:51	01:41:51	01:41:51	01:41:51			01:41:53	01:41:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
