# iteration	operator	status	plan id	creator	parent	vehicle	pax	score	budget	start time	end time	important stops	links
33	para_30_53	PROSPECTING	30_0	CreateNewPlan	none	1	0	-108.5756135699696	23.754733007070058	19:45:00	20:45:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
33	para_30_53	PROSPECTING	33_1	WeightedStartTimeExtension	30_0	1	0	-154.1331429545377	23.754733007070058	13:45:00	20:45:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
33	para_30_53	PROSPECTING	=====	=====	=====	2	0	-262.7087565245073	23.754733007070058	=====	=====	=====	=====
33	para_31_54	PROSPECTING	31_0	CreateNewPlan	none	1	0	-183.20600723052172	-294.1727674799965	09:30:00	21:00:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
33	para_31_54	PROSPECTING	33_0	WeightedStartTimeExtension	31_0	1	0	-211.65826648167234	-294.1727674799965	05:45:00	21:00:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
33	para_31_54	PROSPECTING	=====	=====	=====	2	0	-394.86427371219406	-294.1727674799965	=====	=====	=====	=====
33	para_31_55	PROSPECTING	31_0	CreateNewPlan	none	1	0	-179.00660655859502	-276.8778617686202	13:00:00	23:45:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
33	para_31_55	PROSPECTING	33_0	WeightedStartTimeExtension	31_0	1	0	-214.07493314834133	-276.8778617686202	08:30:00	23:45:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
33	para_31_55	PROSPECTING	=====	=====	=====	2	0	-393.0815397069364	-276.8778617686202	=====	=====	=====	=====
33	para_31_56	PROSPECTING	31_0	CreateNewPlan	none	2	0	-300.2175368828772	-121.79335419721906	14:30:00	21:15:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
33	para_31_56	PROSPECTING	=====	=====	=====	2	0	-300.2175368828772	-121.79335419721906	=====	=====	=====	=====
33	para_31_57	PROSPECTING	31_0	CreateNewPlan	none	2	0	-263.16420744475187	78.3278306796451	18:00:00	22:00:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
33	para_31_57	PROSPECTING	=====	=====	=====	2	0	-263.16420744475187	78.3278306796451	=====	=====	=====	=====
33	para_32_58	PROSPECTING	32_0	CreateNewPlan	none	3	0	-464.42669770673115	-233.2363622311002	16:00:00	23:15:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
33	para_32_58	PROSPECTING	=====	=====	=====	3	0	-464.42669770673115	-233.2363622311002	=====	=====	=====	=====
33	para_33_59	PROSPECTING	33_0	CreateNewPlan	none	5	0	-584.785178693172	-583.785178693172	20:15:00	22:00:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
33	para_33_59	PROSPECTING	=====	=====	=====	5	0	-584.785178693172	-583.785178693172	=====	=====	=====	=====
34	para_29_50	PROSPECTING	34_1	WeightedEndTimeExtension	33_0	1	0	-153.2248096212049	41.144907171914326	17:00:00	24:00:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
34	para_29_50	PROSPECTING	=====	=====	=====	1	0	-153.2248096212049	41.144907171914326	=====	=====	=====	=====
34	para_30_51	PROSPECTING	34_1	WeightedEndTimeExtension	30_0	1	0	-129.6645832603069	308.4002578146652	05:15:00	09:30:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
34	para_30_51	PROSPECTING	=====	=====	=====	1	0	-129.6645832603069	308.4002578146652	=====	=====	=====	=====
34	para_30_52	PROSPECTING	30_0	CreateNewPlan	none	1	0	-103.6957619777983	-142.48540685561952	22:00:00	22:30:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
34	para_30_52	PROSPECTING	33_1	WeightedEndTimeExtension	30_0	1	0	-104.91763221832842	-142.48540685561952	22:00:00	22:45:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
34	para_30_52	PROSPECTING	=====	=====	=====	2	0	-208.6133941961267	-142.48540685561952	=====	=====	=====	=====
